job name,job type,salary range,salary min,salary max,skills requirements,education requirements,experience requirements,another requirements,province,city,district,company name,company industry,company size,last post,post time,obtained,url
Data Analyst,Paruh Waktu · Kerja di kantor,IDR3.000.000 - 3.500.000/Bulan,3000000.0,3500000.0,"Data Analytics, Statistical Data Analysis, SQL",Minimal SMA/SMK,1 - 3 tahun pengalaman,20-27 tahun,Banten,Tangerang,Cipondoh,Bangor Foods Corp,Food & Beverages,1001 - 5000 karyawan,4 hari yang lalu,2025-04-09 19:43:00,2025-04-13 19:43:00,https://glints.com/id/opportunities/jobs/data-analyst/92cec490-2073-4c04-a1ed-3e886e6e3989?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Kontrak · Kerja di kantor,IDR7.000.000 - 8.500.000/Bulan,7000000.0,8500000.0,,Minimal Sarjana (S1),1 - 3 tahun pengalaman,,DKI Jakarta,Jakarta Utara,Tanjung Priok,Amit Global Solutions,Computer Software,11 - 50 karyawan,4 hari yang lalu,2025-04-09 19:43:02,2025-04-13 19:43:02,https://glints.com/id/opportunities/jobs/data-analyst/c86de10e-b6a2-43fe-8a70-34dc232f1780?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Penuh Waktu · Kerja di kantor,IDR4.000.000 - 5.000.000/Bulan,4000000.0,5000000.0,,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,,Jawa Barat,Kab. Bandung,Dayeuhkolot,My Style,Apparel & Fashion,51 - 200 karyawan,4 hari yang lalu,2025-04-09 19:43:04,2025-04-13 19:43:04,https://glints.com/id/opportunities/jobs/data-analis/972207ef-0fcc-4b0b-b43b-cc07d9edef16?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Penuh Waktu · Kerja di kantor,IDR4.000.000 - 6.000.000/Bulan,4000000.0,6000000.0,"Microsoft Excel, Big Data Analysis, Python",Minimal Sarjana (S1),3 - 5 tahun pengalaman,,DI Yogyakarta,Kab. Sleman,Kapanewon Ngaglik,ALTAIR TS,Information Technology and Services,51 - 200 karyawan,6 hari yang lalu,2025-04-07 19:43:08,2025-04-13 19:43:08,https://glints.com/id/opportunities/jobs/data-analis/c05a0f08-359c-4d45-bc04-5a9fd35a47fd?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Kontrak · Kerja di kantor,Unspecified,,,"Statistical Data Analysis, Analytical Skills, Presentation Skills",Minimal Sarjana (S1),Pengalaman kurang dari 1 tahun,20-30 tahun,Banten,Tangerang Selatan,Pondok Aren,PT. Ebdesk Teknologi,Information Technology and Services,Unspecified,1 bulan yang lalu,2025-03-13 19:43:15,2025-04-13 19:43:15,https://glints.com/id/opportunities/jobs/data-analyst/19532146-eef2-4875-8e19-9f6612fe7d02?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Entry Freelance Online Harian WFH,Freelance · Remote/Dari rumah,IDR3.800.000 - 7.800.000/Bulan,3800000.0,7800000.0,"Microsoft Excel, Investment Banking, Customer Service, Administration, Banking, Team Leadership, Microsoft PowerPoint",Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"19-41 tahun, Perempuan saja",Jawa Tengah,Kab. Wonogiri,Sidoharjo,Amel Eyelash,Individual & Family Services,11 - 50 karyawan,2 hari yang lalu,2025-04-11 19:43:19,2025-04-13 19:43:19,https://glints.com/id/opportunities/jobs/data-entry-freelance-online-harian-wfh/a77c7ae2-51b7-4a77-880c-b1554f76f9ce?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Penuh Waktu · Kerja di kantor,IDR3.000.000 - 3.500.000/Bulan,3000000.0,3500000.0,,Minimal Sarjana (S1),1 - 3 tahun pengalaman,,Banten,Tangerang Selatan,Pamulang,PT Quantum King Sulaiman,Marketing and Advertising,11 - 50 karyawan,4 hari yang lalu,2025-04-09 19:43:23,2025-04-13 19:43:23,https://glints.com/id/opportunities/jobs/data-analis/b859a2f2-54ae-4499-80bd-562c4b02a555?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Kontrak · Kerja di kantor,IDR4.000.000 - 6.000.000/Bulan,4000000.0,6000000.0,"SQL, Power BI, Microsoft Excel",Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,,DKI Jakarta,Jakarta Selatan,Tebet,Artics Communication,Marketing and Advertising,11 - 50 karyawan,2 hari yang lalu,2025-04-11 19:43:28,2025-04-13 19:43:28,https://glints.com/id/opportunities/jobs/data-analyst/bfb7ceb3-b3ce-42cf-9e43-ba87c85f3640?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Penuh Waktu · Kerja di kantor,IDR100.000/Bulan,,,,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,,Jawa Barat,Bandung,Bandung Wetan,Shafira Corporation (SHAFCO),Retail,501 - 1000 karyawan,1 tahun yang lalu,2024-04-13 19:43:34,2025-04-13 19:43:34,https://glints.com/id/opportunities/jobs/data-analyst/b2a3f495-3a6f-4d0e-8ea5-5da81eba68c2?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Penuh Waktu · Kerja di kantor,IDR3.500.000 - 5.000.000/Bulan,3500000.0,5000000.0,,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,,Jawa Barat,Bandung,Batununggal,Aestech,Information Technology and Services,11 - 50 karyawan,2 bulan yang lalu,2025-02-13 19:43:36,2025-04-13 19:43:36,https://glints.com/id/opportunities/jobs/data-analyst/ff3cdf7c-86f2-48e2-b28b-6361ee4ed434?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
